AtcoCode,NaptanCode,CommonName,StopType,Easting,Northing,LocalityCode,Longitude,Latitude,Indicator,Town,Street,Status,LocalityName
700000014865,,Holy Child Primary School,BusCoachTramOnStreetPoint,241915,416720,N0000014,-7.3458574,54.996196,,,,active,DerryCity
700000014866,,Rathlin Gardens,BusCoachTramOnStreetPoint,241512,416085,N0000014,-7.3522347,54.9905236,,,,active,DerryCity
700000014867,,Bishops Field,BusCoachTramOnStreetPoint,242131,416511,N0000014,-7.3425076,54.9942962,,,,active,DerryCity
700000014868,,Steelstown Road,BusCoachTramOnStreetPoint,244290,419693,N0000014,-7.3082906,55.0226915,,,,active,DerryCity
700000014869,,Cornshell Fields Lower,BusCoachTramOnStreetPoint,244301,420859,N0000014,-7.3079257,55.0331657,,,,active,DerryCity
700000014870,,Cornshell Fields Middle,BusCoachTramOnStreetPoint,244439,420876,N0000014,-7.3057681,55.0333033,,,,active,DerryCity
700000014871,,Cornshell Fields Upper,BusCoachTramOnStreetPoint,244499,420877,N0000014,-7.3048396,55.0333079,,,,active,DerryCity
700000014872,,Cornshell Fields Upper,BusCoachTramOnStreetPoint,244610,420884,N0000014,-7.3030934,55.0333654,,,,active,DerryCity
700000014873,,The Paddocks,BusCoachTramOnStreetPoint,244354,421399,N0000014,-7.3070275,55.0380121,,,,active,DerryCity
700000014874,,Ballyarnett Roundabout,BusCoachTramOnStreetPoint,244110,420711,N0000014,-7.3109383,55.0318506,,,,active,DerryCity
700000014876,,Baronscourt,BusCoachTramOnStreetPoint,244235,419238,N0000014,-7.3092115,55.0186092,,,,active,DerryCity
700000014877,,Pennyburn Chapel,BusCoachTramOnStreetPoint,243770,418759,N0000014,-7.3165536,55.014348,,,,active,DerryCity
700000014878,,Temple Court,BusCoachTramOnStreetPoint,241878,420281,N0000014,-7.3459036,55.0281811,,,,active,DerryCity
700000014879,,Carnhill Roundabout,BusCoachTramOnStreetPoint,243290,419881,N0000014,-7.3238864,55.0244676,,,,active,DerryCity
700000014880,,Drumleck Drive,BusCoachTramOnStreetPoint,243920,420261,N0000014,-7.3139785,55.0278255,,,,active,DerryCity
700000014881,,Greenhaw Avenue,BusCoachTramOnStreetPoint,243883,419965,N0000014,-7.314602,55.0251761,,,,active,DerryCity
700000014882,,Ardmore Road,BusCoachTramOnStreetPoint,245918,414657,N0000014,-7.283634,54.9773137,,,,active,DerryCity
700000014883,,Trench Road,BusCoachTramOnStreetPoint,244264,415599,N0000014,-7.3093254,54.9859215,,,,active,DerryCity
700000014884,,Gelvin Gardens,BusCoachTramOnStreetPoint,244285,415592,N0000014,-7.3090042,54.9858631,,,,active,DerryCity
700000014886,,Carlisle Road Upper,BusCoachTramOnStreetPoint,243579,416482,N0000014,-7.3198855,54.993913,,,,active,DerryCity
700000014887,,Carlisle Road Lower,BusCoachTramOnStreetPoint,243586,416320,N0000014,-7.3198007,54.9924573,,,,active,DerryCity
700000014888,,Abbeydale,BusCoachTramOnStreetPoint,245336,416827,N0000014,-7.2923851,54.9968552,,,,active,DerryCity
700000014889,,Abbeydale,BusCoachTramOnStreetPoint,245284,416820,N0000014,-7.2931927,54.9968031,,,,active,DerryCity
700000014890,,Canterbury Park,BusCoachTramOnStreetPoint,246119,417054,N0000014,-7.280117,54.9988263,,,,active,DerryCity
700000014891,,Lisnagelvin Primary School,BusCoachTramOnStreetPoint,245323,416123,N0000014,-7.2927061,54.9905397,,,,active,DerryCity
700000014892,,Richill Park,BusCoachTramOnStreetPoint,245500,416370,N0000014,-7.2899378,54.9927259,,,,active,DerryCity
700000014893,,Duke Street,BusCoachTramOnStreetPoint,243899,416082,N0000014,-7.3149478,54.9902959,,,,active,DerryCity
700000014894,,Waterside Link,BusCoachTramOnStreetPoint,244060,416431,N0000014,-7.3123789,54.9934127,,,,active,DerryCity
700000014895,,Maydown Road,BusCoachTramOnStreetPoint,247806,420145,N0000014,-7.2532847,55.026416,,,,active,DerryCity
700000014896,,Maydown Road,BusCoachTramOnStreetPoint,247819,420157,N0000014,-7.2530794,55.0265226,,,,active,DerryCity
700000014897,,Moymore Place,BusCoachTramOnStreetPoint,247196,421017,N0000014,-7.2626321,55.034316,,,,active,DerryCity
700000014898,,Newbuildings Primary School,BusCoachTramOnStreetPoint,241032,412480,N0000014,-7.3602511,54.9581862,,,,active,DerryCity
700000014900,,Cloughboy Road,BusCoachTramOnStreetPoint,237436,408243,N0000014,-7.416929,54.9204115,,,,active,DerryCity
700000014901,,Glenside,BusCoachTramOnStreetPoint,235192,399407,N0000014,-7.4530026,54.8412081,,,,active,DerryCity
700000014902,,Glenside,BusCoachTramOnStreetPoint,235207,399416,N0000014,-7.4527628,54.8412856,,,,active,DerryCity
700000014903,,Beechmount Avenue Junction,BusCoachTramOnStreetPoint,234039,396948,N0000014,-7.4712397,54.8192022,,,,active,DerryCity
700000014904,,Brookvale,BusCoachTramOnStreetPoint,233940,395520,N0000014,-7.4729818,54.8063669,,,,active,DerryCity
700000014905,,Brookvale,BusCoachTramOnStreetPoint,233930,395520,N0000014,-7.4731373,54.8063676,,,,active,DerryCity
700000014907,,Glasvey Drive,BusCoachTramOnStreetPoint,261750,422170,N0000014,-7.0348473,55.04307,,,,active,DerryCity
700000014908,,Walworth 3,BusCoachTramOnStreetPoint,262050,422170,N0000014,-7.0301552,55.0430328,,,,active,DerryCity
700000014909,,Walworth 4,BusCoachTramOnStreetPoint,261980,422150,N0000014,-7.0312544,55.0428619,,,,active,DerryCity
700000014910,,Carrickhue Cross Roads,BusCoachTramOnStreetPoint,260102,422113,N0000014,-7.0605941,55.0427718,,,,active,DerryCity
700000014911,,Tullybrisland,BusCoachTramOnStreetPoint,255547,421206,N0000014,-7.1320535,55.0351426,,,,active,DerryCity
700000014912,,Tullybrisland,BusCoachTramOnStreetPoint,255542,421187,N0000014,-7.1321354,55.0349725,,,,active,DerryCity
700000014913,,Vale Centre,BusCoachTramOnStreetPoint,256300,420885,N0000014,-7.1202933,55.0321888,,,,active,DerryCity
700000014914,,Faughanvale Church,BusCoachTramOnStreetPoint,254989,421344,N0000014,-7.1407023,55.0364562,,,,active,DerryCity
700000014915,,Longfield Clooney Road,BusCoachTramOnStreetPoint,254440,421330,N0000014,-7.1493408,55.0363785,,,,active,DerryCity
700000014916,,Airport Roundabout,BusCoachTramOnStreetPoint,254253,421307,N0000014,-7.1522339,55.0362049,,,,active,DerryCity
700000014917,,Eglinton Health Centre,BusCoachTramOnStreetPoint,252990,420358,N0000014,-7.1721548,55.0278125,,,,active,DerryCity
700000014918,,Eglinton Health Centre,BusCoachTramOnStreetPoint,252964,420359,N0000014,-7.1725673,55.0278285,,,,active,DerryCity
700000014920,,Faughanview Park,BusCoachTramOnStreetPoint,246019,415108,N0000014,-7.2819876,54.9813527,,,,active,DerryCity
700000014921,,Church Road,BusCoachTramOnStreetPoint,245866,415052,N0000014,-7.284386,54.9808638,,,,active,DerryCity
700000014922,,Church Road,BusCoachTramOnStreetPoint,245672,415006,N0000014,-7.2874203,54.9804742,,,,active,DerryCity
700000014923,,Three Mile,BusCoachTramOnStreetPoint,246294,415011,N0000014,-7.2777534,54.9804467,,,,active,DerryCity
700000014924,,Gortilea Road,BusCoachTramOnStreetPoint,257019,409200,N0000014,-7.1114197,54.9271458,,,,active,DerryCity
700000014925,,FOREGLEN 2,BusCoachTramOnStreetPoint,261760,409590,N0000014,-7.0373985,54.9300855,,,,active,DerryCity
700000014926,,DERNAFLAW 2,BusCoachTramOnStreetPoint,266420,409110,N0000014,-6.9648311,54.9251773,,,,active,DerryCity
