stop_id,stop_name,stop_lat,stop_lon
700000001422,CastleCourt,0,0
700000017420,Donegall Place,0,0
700000001447,Glenville,0,0
700000001413,Hillcrest Villas,0,0
700000001414,Cherrylands,0,0
700000001415,Aspen Park,0,0
700000001472,Beverley Road,0,0
700000001502,Campbell Road,0,0
700000001503,Manse Way Turning Circle,0,0
700000001504,Carn Court,0,0
700000001505,Carn Crescent,0,0
700000001506,Milewater Drive,0,0
700000001508,Ballyearl Turning Circle,0,0
700000001509,Ballyearl Drive,0,0
700000001510,Ballycraigy Road,0,0
700000001527,St Anne's Crescent,0,0
700000001528,Ladysmith Lane,0,0
700000014735,Northcott Shopping Centre,0,0
700000014741,Jubilee Way,0,0
700000001229,Burney's Lane,0,0
700000001231,Rose Park,0,0
700000001233,Harmin Parade,0,0
700000014769,Enterprise Way,0,0
700000001565,Rosehall,0,0
700000015280,Hightown Park,0,0
700000001556,Hightown Court,0,0
700000001557,Hightown Road,0,0
700000001498,Mossley Mill,0,0
700000001500,The Villas,0,0
700000001501,Lakeview Grove,0,0
700000001529,Queens Park,0,0
700000001530,Hillview Park,0,0
700000001532,Glengormley Park,0,0
700000001135,Duncairn Gardens,0,0
700000001137,Halliday's Road,0,0
700000001139,Edlingham Street,0,0
700000001141,Adam Street,0,0
700000001143,North City Business Centre,0,0
700000014732,Henry Street,0,0
700000014730,Great George's Street,0,0
700000001584,Fort Road,0,0
700000001585,Craigarogan Road,0,0
700000001586,Craigarogan Quarry,0,0
700000001587,Old Mill Crescent,0,0
700000001588,Parkmount,0,0
700000001589,Hydepark Presbyterian Church,0,0
700000001590,Mallusk Road,0,0
700000001591,Central Park,0,0
700000001562,Hightown Avenue,0,0
700000001563,Mallusk Drive,0,0
700000001564,Ballyrobert Garage,0,0
700000015297,Aylesbury Manor,0,0
700000015298,Aylesbury Avenue,0,0
700000015299,Alderley Place,0,0
700000015300,Mayfield Link,0,0
700000001560,Scullions Road,0,0
700000001224,Sandyknowes,0,0
700000001226,Swanston Park,0,0
700000001511,Ballyhenry Presbyterian Church,0,0
700000001512,Ballyhenry Avenue,0,0
700000001513,Sandyknowes Park,0,0
700000001430,Donegall Place,0,0
700000016279,North Street,0,0
700000001514,Central Library,0,0
700000001519,Ulster University Belfast,0,0
700000000536,Little Patrick Street,0,0
700000000538,York Street,0,0
700000000540,St Paul's,0,0
700000000542,Mountcollyer Road,0,0
700000000544,Grove Place,0,0
700000000546,Bute Street,0,0
700000000548,Skegoneill Avenue,0,0
700000000550,Seaview,0,0
700000000552,York Park,0,0
700000000554,Fortwilliam Crescent,0,0
700000000556,Fortwilliam,0,0
700000000558,Mount Vernon House,0,0
700000000560,Lowwood Park,0,0
700000000562,Loughside,0,0
700000000564,Donegall Park Avenue,0,0
700000000566,Shore Crescent,0,0
700000000568,Parkmount,0,0
700000000570,Grays Lane,0,0
