service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20250901,20260816
2,0,0,0,0,0,1,0,20250901,20260816
3,0,0,0,0,0,0,1,20250901,20260816
4,0,1,0,0,0,0,0,20250901,20260816
5,0,0,0,1,1,0,0,20250901,20260816
6,1,0,1,0,0,0,0,20250901,20260816
7,0,1,0,1,1,0,0,20250901,20260816
8,1,0,0,1,0,0,0,20250901,20260816
9,0,1,1,0,1,0,0,20250901,20260816
10,1,1,1,1,1,0,0,20250901,20260816
